criterion_root,rel_case_dir,group,workload,transport,has_payload_word,payload_size_bytes,impl,param,mean_ns,lower_ns,upper_ns,throughput_kind,throughput_value,ops_per_s,bytes_per_s,gib_per_s,ns_per_op
target/criterion,"prio101 payload DGRAM bytes_s (real bytes, 64 B), 20P_1C/Impl3_Skiplist/64","prio101 payload DGRAM bytes_s (real bytes, 64 B), 20P_1C",prio101,DGRAM,True,64,Impl3_Skiplist,64,364907760.575,359855157.105625,369873246.40625,Bytes,32000000.0,,87693393.94036537,0.08167083742131048,
target/criterion,"prio101 payload DGRAM bytes_s (real bytes, 64 B), 20P_1C/Impl4_BitmapScanner/64","prio101 payload DGRAM bytes_s (real bytes, 64 B), 20P_1C",prio101,DGRAM,True,64,Impl4_BitmapScanner,64,118629201.26666668,116670724.83770835,120634545.98645835,Bytes,32000000.0,,269748086.1231391,0.2512224820657997,
target/criterion,"prio101 payload STREAM bytes_s (real bytes, 512 B), 20P_1C/Impl3_Skiplist/512","prio101 payload STREAM bytes_s (real bytes, 512 B), 20P_1C",prio101,STREAM,True,512,Impl3_Skiplist,512,97980928.54522756,96942915.35788973,99011913.68446158,Bytes,67108864.0,,684917616.0748757,0.6378792376023491,
target/criterion,"prio101 payload STREAM bytes_s (real bytes, 512 B), 20P_1C/Impl4_BitmapScanner/512","prio101 payload STREAM bytes_s (real bytes, 512 B), 20P_1C",prio101,STREAM,True,512,Impl4_BitmapScanner,512,32943968.92109223,32329282.75268033,33517119.780773968,Bytes,67108864.0,,2037060688.1259482,1.8971606047134364,
target/criterion,"dual_priority bytes_s STREAM (1 item == 64 B), 20P_1C/Impl1_MutexBinaryHeap/64","dual_priority bytes_s STREAM (1 item == 64 B), 20P_1C",dual_priority,STREAM,False,64,Impl1_MutexBinaryHeap,64,69052806.91875,68248249.16875,69803217.2875,Bytes,12800000.0,,185365382.9751039,0.17263496571695797,
target/criterion,"dual_priority bytes_s STREAM (1 item == 64 B), 20P_1C/Impl2_DualSegQueue/64","dual_priority bytes_s STREAM (1 item == 64 B), 20P_1C",dual_priority,STREAM,False,64,Impl2_DualSegQueue,64,16556914.27727164,16431344.198321972,16669503.745362088,Bytes,12800000.0,,773090914.5051919,0.7199970209088101,
target/criterion,"dual_priority ops_s (HIGH_LOW), 20P_1C/Impl1_MutexBinaryHeap/200000","dual_priority ops_s (HIGH_LOW), 20P_1C",dual_priority,,False,,Impl1_MutexBinaryHeap,200000,68127831.19375,67141152.46390624,69137573.4125,Elements,200000.0,2935657.8140762523,,,340.63915596874995
target/criterion,"dual_priority ops_s (HIGH_LOW), 20P_1C/Impl2_DualSegQueue/200000","dual_priority ops_s (HIGH_LOW), 20P_1C",dual_priority,,False,,Impl2_DualSegQueue,200000,16549778.038348326,16435731.57590265,16662167.258965282,Elements,200000.0,12084754.22066507,,,82.74889019174164
target/criterion,"dual_priority payload DGRAM (real bytes, 512 B), 20P_1C/Impl1_MutexBinaryHeap/512","dual_priority payload DGRAM (real bytes, 512 B), 20P_1C",dual_priority,DGRAM,True,512,Impl1_MutexBinaryHeap,512,130252573.04,128707220.68000004,132074704.445,Bytes,67108864.0,,515221023.53702563,0.47983697013652477,
target/criterion,"dual_priority payload DGRAM (real bytes, 512 B), 20P_1C/Impl2_DualSegQueue/512","dual_priority payload DGRAM (real bytes, 512 B), 20P_1C",dual_priority,DGRAM,True,512,Impl2_DualSegQueue,512,16485470.786680367,16170798.377515646,16822928.434496954,Bytes,67108864.0,,4070788445.6791744,3.7912171759448707,
target/criterion,"dual_priority payload STREAM (real bytes, 1048576 B), 20P_1C/Impl1_MutexBinaryHeap/1048576","dual_priority payload STREAM (real bytes, 1048576 B), 20P_1C",dual_priority,STREAM,True,1048576,Impl1_MutexBinaryHeap,1048576,13914675.924176086,13614424.897711193,14211531.973718446,Bytes,268435456.0,,19291534884.661324,17.966641937067102,
target/criterion,"dual_priority payload STREAM (real bytes, 1048576 B), 20P_1C/Impl2_DualSegQueue/1048576","dual_priority payload STREAM (real bytes, 1048576 B), 20P_1C",dual_priority,STREAM,True,1048576,Impl2_DualSegQueue,1048576,14243172.471959272,13885078.0112517,14664415.811281752,Bytes,268435456.0,,18846605735.3776,17.55226937623471,
target/criterion,"prio101 bytes_s STREAM (1 item == 65536 B), 20P_1C/Impl3_Skiplist/65536","prio101 bytes_s STREAM (1 item == 65536 B), 20P_1C",prio101,STREAM,False,65536,Impl3_Skiplist,65536,67178085.8125,66217114.640625,68387985.58125,Bytes,13107200000.0,,195111245601.48022,181.71150759000352,
target/criterion,"prio101 bytes_s STREAM (1 item == 65536 B), 20P_1C/Impl4_BitmapScanner/65536","prio101 bytes_s STREAM (1 item == 65536 B), 20P_1C",prio101,STREAM,False,65536,Impl4_BitmapScanner,65536,7630938.469734633,7436896.7221752405,7844771.696702685,Bytes,13107200000.0,,1717639324702.3264,1599.6762781425625,
target/criterion,"prio101 payload STREAM ops_s (real bytes, 512 B), 20P_1C/Impl3_Skiplist/512","prio101 payload STREAM ops_s (real bytes, 512 B), 20P_1C",prio101,STREAM,True,512,Impl3_Skiplist,512,96810128.91445872,95566690.87566563,98066508.27067456,Elements,131072.0,1353907.9171748136,,,738.6026681095789
target/criterion,"prio101 payload STREAM ops_s (real bytes, 512 B), 20P_1C/Impl4_BitmapScanner/512","prio101 payload STREAM ops_s (real bytes, 512 B), 20P_1C",prio101,STREAM,True,512,Impl4_BitmapScanner,512,32432337.312600683,31789274.812325787,33040210.257013835,Elements,131072.0,4041398.519528706,,,247.43909692841098
target/criterion,"prio101 payload STREAM ops_s (real bytes, 4096 B), 20P_1C/Impl3_Skiplist/4096","prio101 payload STREAM ops_s (real bytes, 4096 B), 20P_1C",prio101,STREAM,True,4096,Impl3_Skiplist,4096,14218638.836117879,14003300.571284223,14432138.338103084,Elements,16384.0,1152290.327424431,,,867.8368430247729
